gen,HV_norm,feasible_ratio_soft,feasible_ratio_strict,min_cost,min_makespan_h,vio_mean_miss_alloc,vio_mean_miss_tt,vio_mean_cap_excess,vio_mean_node_cap_excess,vio_mean_late_h,vio_mean_wait_h
145,0.7343999999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,780.4329489756354
146,0.7343999999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,778.2297532773647
147,0.7343999999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,775.775668076382
148,0.7343999999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,780.4176380335241
149,0.7343999999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,781.2913195826221
150,0.7343999999999999,1.0,1.0,4207134.790088374,289.7991666666667,0.0,0.0,0.0,0.0,0.0,785.256131988302
151,0.7343999999999999,1.0,1.0,4206601.412253529,289.7991666666667,0.0,0.0,0.0,0.0,0.0,790.6866473689398
152,0.7343999999999999,1.0,1.0,4206601.412253529,289.7991666666667,0.0,0.0,0.0,0.0,0.0,793.2078839022507
153,0.7343999999999999,1.0,1.0,4206601.412253529,289.7991666666667,0.0,0.0,0.0,0.0,0.0,794.1510211981549
154,0.7343999999999999,1.0,1.0,4206601.412253529,289.7991666666667,0.0,0.0,0.0,0.0,0.0,791.5569650779249
155,0.7372799999999999,1.0,1.0,4206601.412253529,289.7991666666667,0.0,0.0,0.0,0.0,0.0,791.0492315212268
156,0.7372799999999999,1.0,1.0,4206297.589669319,289.7991666666667,0.0,0.0,0.0,0.0,0.0,789.479906534191
157,0.7372799999999999,1.0,1.0,4206266.137263892,289.7991666666667,0.0,0.0,0.0,0.0,0.0,788.912611571375
158,0.7372799999999999,1.0,1.0,4206266.137263892,289.7991666666667,0.0,0.0,0.0,0.0,0.0,789.3218053128633
159,0.7372799999999999,1.0,1.0,4206266.137263892,289.7991666666667,0.0,0.0,0.0,0.0,0.0,788.1699395043923
